TicketId,Title,Priority,Assignee,DueDate,HoursLogged
7001,Printer offline on floor 101,Medium,jle,2026-09-11,0.5
7002,VPN drops for user 102,High,mrt,2026-09-12,1
7003,Laptop request for desk 103,Low,pko,2026-09-13,1.5
7004,Mailbox permissions for team 104,Medium,sva,2026-09-14,2
7005,Monitor flickers at desk 105,High,ana,2026-09-15,0
7006,Password reset for contractor 106,Low,jle,2026-09-16,0.5
7007,Badge reader error at door 107,Medium,mrt,2026-09-17,1
7008,Wi-Fi dead zone in room 108,High,pko,2026-09-18,1.5
7009,Shared drive full on server 109,Low,sva,2026-09-19,2
7010,Phone extension 110 not ringing,Medium,ana,2026-09-20,0
7011,Printer offline on floor 111,High,jle,2026-09-21,0.5
7012,VPN drops for user 112,Low,mrt,2026-09-22,1
7013,Laptop request for desk 113,Medium,pko,2026-09-23,1.5
7014,Mailbox permissions for team 114,High,sva,2026-09-24,2
7015,Monitor flickers at desk 115,Low,ana,2026-09-25,0
7016,Password reset for contractor 116,Medium,jle,2026-09-26,0.5
7017,Badge reader error at door 117,High,mrt,2026-09-27,1
7018,Wi-Fi dead zone in room 118,Low,pko,2026-09-28,1.5
7019,Shared drive full on server 119,Medium,sva,2026-09-29,2
7020,Phone extension 120 not ringing,High,ana,2026-09-30,0
7021,Printer offline on floor 121,Low,jle,2026-10-01,0.5
7022,VPN drops for user 122,Medium,mrt,2026-10-02,1
7023,Laptop request for desk 123,High,pko,2026-10-03,1.5
7024,Mailbox permissions for team 124,Low,sva,2026-10-04,2
7025,Monitor flickers at desk 125,Medium,ana,2026-10-05,0
7026,Password reset for contractor 126,High,jle,2026-10-06,0.5
7027,Badge reader error at door 127,Low,mrt,2026-10-07,1
7028,Wi-Fi dead zone in room 128,Medium,pko,2026-10-08,1.5
7029,Shared drive full on server 129,High,sva,2026-10-09,2
7030,Phone extension 130 not ringing,Low,ana,2026-09-10,0
7031,Printer offline on floor 131,Medium,jle,2026-09-11,0.5
7032,VPN drops for user 132,High,mrt,2026-09-12,1
7033,Laptop request for desk 133,Low,pko,2026-09-13,1.5
7034,Mailbox permissions for team 134,Medium,sva,2026-09-14,2
7035,Monitor flickers at desk 135,High,ana,2026-09-15,0
7036,Password reset for contractor 136,Low,jle,2026-09-16,0.5
7037,Badge reader error at door 137,Medium,mrt,2026-09-17,1
7038,Wi-Fi dead zone in room 138,High,pko,2026-09-18,1.5
7039,Shared drive full on server 139,Low,sva,2026-09-19,2
7040,Phone extension 140 not ringing,Medium,ana,2026-09-20,0
7041,Printer offline on floor 141,High,jle,2026-09-21,0.5
7042,VPN drops for user 142,Low,mrt,2026-09-22,1
7043,Laptop request for desk 143,Medium,pko,2026-09-23,1.5
7044,Mailbox permissions for team 144,High,sva,2026-09-24,2
7045,Monitor flickers at desk 145,Low,ana,2026-09-25,0
7046,Password reset for contractor 146,Medium,jle,2026-09-26,0.5
7047,Badge reader error at door 147,High,mrt,2026-09-27,1
7048,Wi-Fi dead zone in room 148,Low,pko,2026-09-28,1.5
7049,Shared drive full on server 149,Medium,sva,2026-09-29,2
7050,Phone extension 150 not ringing,High,ana,2026-09-30,0
7051,Printer offline on floor 151,Low,jle,2026-10-01,0.5
7052,VPN drops for user 152,Medium,mrt,2026-10-02,1
7053,Laptop request for desk 153,High,pko,2026-10-03,1.5
7054,Mailbox permissions for team 154,Low,sva,2026-10-04,2
7055,Monitor flickers at desk 155,Medium,ana,2026-10-05,0
7056,Password reset for contractor 156,High,jle,2026-10-06,0.5
7057,Badge reader error at door 157,Low,mrt,2026-10-07,1
7058,,Medium,pko,2026-10-08,1.5
7059,Shared drive full on server 159,High,sva,2026-10-09,2
7060,Phone extension 160 not ringing,Low,ana,2026-09-10,0
7061,Printer offline on floor 161,Medium,jle,2026-09-11,0.5
7062,VPN drops for user 162,High,mrt,2026-09-12,1
7063,Laptop request for desk 163,Low,pko,2026-09-13,1.5
7064,Mailbox permissions for team 164,Medium,sva,2026-09-14,2
7065,Monitor flickers at desk 165,High,ana,2026-09-15,0
7066,Password reset for contractor 166,Low,jle,2026-09-16,0.5
7067,Badge reader error at door 167,Medium,mrt,2026-09-17,1
7068,Wi-Fi dead zone in room 168,High,pko,2026-09-18,1.5
7069,Shared drive full on server 169,Low,sva,2026-09-19,2
7070,Phone extension 170 not ringing,Medium,ana,2026-09-20,0
7071,Printer offline on floor 171,High,jle,2026-09-21,0.5
7072,VPN drops for user 172,Low,mrt,2026-09-22,1
7073,Laptop request for desk 173,Medium,pko,2026-09-23,1.5
7074,Mailbox permissions for team 174,High,sva,2026-09-24,2
7075,Monitor flickers at desk 175,Low,ana,2026-09-25,0
7076,Password reset for contractor 176,Medium,jle,2026-09-26,0.5
7077,Badge reader error at door 177,High,mrt,2026-09-27,1
7078,Wi-Fi dead zone in room 178,Low,pko,2026-09-28,1.5
7079,Shared drive full on server 179,Medium,sva,2026-09-29,2
7080,Phone extension 180 not ringing,High,ana,2026-09-30,0
7081,Printer offline on floor 181,Low,jle,2026-10-01,0.5
7082,VPN drops for user 182,Medium,mrt,2026-10-02,1
7083,Laptop request for desk 183,High,pko,2026-10-03,1.5
7084,Mailbox permissions for team 184,Low,sva,2026-10-04,2
7085,Monitor flickers at desk 185,Medium,ana,2026-10-05,0
7086,Password reset for contractor 186,High,jle,2026-10-06,0.5
7087,Badge reader error at door 187,Low,mrt,2026-10-07,1
7088,Wi-Fi dead zone in room 188,Medium,pko,2026-10-08,1.5
7089,Shared drive full on server 189,High,sva,2026-10-09,2
7090,Phone extension 190 not ringing,Low,ana,2026-09-10,0
7091,Printer offline on floor 191,Medium,jle,2026-09-11,0.5
7092,VPN drops for user 192,High,mrt,2026-09-12,1
7093,Laptop request for desk 193,Low,pko,2026-09-13,1.5
7094,Mailbox permissions for team 194,Medium,sva,2026-09-14,2
7095,Monitor flickers at desk 195,High,ana,2026-09-15,0
7096,Password reset for contractor 196,Low,jle,2026-09-16,0.5
7097,Badge reader error at door 100,Medium,mrt,2026-09-17,1
7098,Wi-Fi dead zone in room 101,High,pko,2026-09-18,1.5
7099,Shared drive full on server 102,Low,sva,2026-09-19,2
7100,Phone extension 103 not ringing,Medium,ana,2026-09-20,0
7101,Printer offline on floor 104,High,jle,2026-09-21,0.5
7102,VPN drops for user 105,Low,mrt,2026-09-22,1
7103,Laptop request for desk 106,Medium,pko,2026-09-23,1.5
7104,Mailbox permissions for team 107,High,sva,2026-09-24,2
7105,Monitor flickers at desk 108,Low,ana,2026-09-25,0
7106,Password reset for contractor 109,Medium,jle,2026-09-26,0.5
7107,Badge reader error at door 110,High,mrt,2026-09-27,1
7108,Wi-Fi dead zone in room 111,Low,pko,2026-09-28,1.5
7109,Shared drive full on server 112,Medium,sva,2026-09-29,2
7110,Phone extension 113 not ringing,High,ana,2026-09-30,0
7111,Printer offline on floor 114,Low,jle,2026-10-01,0.5
7112,VPN drops for user 115,Medium,mrt,2026-10-02,1
7113,Laptop request for desk 116,High,pko,2026-10-03,1.5
7114,Mailbox permissions for team 117,Low,sva,2026-10-04,2
7115,Monitor flickers at desk 118,Medium,ana,2026-10-05,0
7116,Password reset for contractor 119,High,jle,2026-10-06,0.5
7117,Badge reader error at door 120,Low,mrt,2026-10-07,1
7118,Wi-Fi dead zone in room 121,Medium,pko,2026-10-08,1.5
7119,Shared drive full on server 122,High,sva,2026-10-09,2
7120,Phone extension 123 not ringing,Low,ana,2026-09-10,0
7121,Printer offline on floor 124,Medium,jle,2026-09-11,0.5
7122,VPN drops for user 125,High,mrt,2026-09-12,1
7123,Laptop request for desk 126,Low,pko,2026-09-13,1.5
7124,Mailbox permissions for team 127,Medium,sva,2026-09-14,2
7125,Monitor flickers at desk 128,High,ana,2026-09-15,0
7126,Password reset for contractor 129,Low,jle,2026-09-16,0.5
7127,Badge reader error at door 130,Medium,mrt,2026-09-17,1
7128,Wi-Fi dead zone in room 131,High,pko,2026-09-18,1.5
7129,Shared drive full on server 132,Low,sva,2026-09-19,2
7130,Phone extension 133 not ringing,Medium,ana,2026-09-20,0
7131,Printer offline on floor 134,High,jle,2026-09-21,0.5
7132,VPN drops for user 135,Low,mrt,2026-09-22,1
7133,Laptop request for desk 136,Medium,pko,2026-09-23,1.5
7134,Mailbox permissions for team 137,High,sva,2026-09-24,2
7135,Monitor flickers at desk 138,Low,ana,2026-09-25,0
7136,Password reset for contractor 139,Medium,jle,2026-09-26,0.5
7137,Badge reader error at door 140,High,mrt,2026-09-27,1
7138,Wi-Fi dead zone in room 141,Low,pko,2026-09-28,1.5
7139,Shared drive full on server 142,Medium,sva,2026-09-29,2
7140,Phone extension 143 not ringing,High,ana,2026-09-30,0
7141,Printer offline on floor 144,Low,jle,2026-10-01,0.5
7142,VPN drops for user 145,Medium,mrt,2026-10-02,1
7143,Laptop request for desk 146,High,pko,2026-10-03,1.5
7144,Mailbox permissions for team 147,Low,sva,2026-10-04,2
7145,Monitor flickers at desk 148,Medium,ana,2026-10-05,0
7146,Password reset for contractor 149,High,jle,2026-10-06,0.5
7147,Badge reader error at door 150,Low,mrt,2026-10-07,1
7148,Wi-Fi dead zone in room 151,Medium,pko,2026-10-08,1.5
7149,Shared drive full on server 152,High,sva,2026-10-09,2
7150,Phone extension 153 not ringing,Low,ana,2026-09-10,0
7151,Printer offline on floor 154,Medium,jle,2026-09-11,0.5
7152,VPN drops for user 155,High,mrt,2026-09-12,1
7153,Laptop request for desk 156,Low,pko,2026-09-13,1.5
7154,Mailbox permissions for team 157,Medium,sva,2026-09-14,2
7155,Monitor flickers at desk 158,High,ana,2026-09-15,0
7156,Password reset for contractor 159,Low,jle,2026-09-16,0.5
7157,Badge reader error at door 160,Medium,mrt,2026-09-17,1
7158,Wi-Fi dead zone in room 161,High,pko,2026-09-18,1.5
7159,Shared drive full on server 162,Low,sva,2026-09-19,2
7160,Phone extension 163 not ringing,Medium,ana,2026-09-20,0
7161,Printer offline on floor 164,High,jle,2026-09-21,0.5
7162,VPN drops for user 165,Low,mrt,2026-09-22,1
7163,Laptop request for desk 166,Medium,pko,2026-09-23,1.5
7164,Mailbox permissions for team 167,High,sva,2026-09-24,2
7165,Monitor flickers at desk 168,Low,ana,2026-09-25,0
7166,Password reset for contractor 169,Medium,jle,2026-09-26,0.5
7167,Badge reader error at door 170,High,mrt,2026-09-27,1
7168,Wi-Fi dead zone in room 171,Low,pko,2026-09-28,1.5
7169,Shared drive full on server 172,Medium,sva,2026-09-29,2
7170,Phone extension 173 not ringing,High,ana,2026-09-30,0
7171,Printer offline on floor 174,Low,jle,2026-10-01,0.5
7172,VPN drops for user 175,Medium,mrt,2026-10-02,1
7173,Laptop request for desk 176,High,pko,2026-10-03,1.5
7174,Mailbox permissions for team 177,Low,sva,2026-10-04,2
7175,Monitor flickers at desk 178,Medium,ana,2026-10-05,0
7176,Password reset for contractor 179,High,jle,2026-10-06,0.5
