Key,Comment,Invariant,en,de,it,ar
"App.Title","Product name. Invariant - never translated, never declined, never transliterated.",X,"GlobalDesk","","",""
"Dashboard.Welcome","",,"Welcome to GlobalDesk","Willkommen bei GlobalDesk","Benvenuto in GlobalDesk","مرحبا بك في جلوبال ديسك"
"Dashboard.Subtitle","",,"Customer operations, in your language","Kundenverwaltung, in Ihrer Sprache","Gestione clienti, nella tua lingua","إدارة العملاء، بلغتك"
"Dashboard.RecreateEditor","",,"Recreate the editor","Editor neu erstellen","Ricrea l'editor","إعادة إنشاء المحرر"
"Dashboard.ShowSystemText","",,"Show a Wisej.NET dialog","Einen Wisej.NET-Dialog anzeigen","Mostra una finestra di Wisej.NET","عرض مربع حوار Wisej.NET"
"Dashboard.LastOrder","Button. Shows the customer's most recent order in the editor. Noun phrase, not a command.",,"Last order","Letzte Bestellung","Ultimo ordine","آخر طلب"
"Dashboard.Language","",,"Language","Sprache","Lingua","اللغة"
"Dashboard.Fallback","Followed by a culture name such as ""de"". Reads as ""Falls back to de"". Verb phrase.",,"Falls back to","Greift zurück auf","Ripiega su","يرجع إلى"
"Dashboard.Contacts","",,"Contacts","Kontakte","Contatti","جهات الاتصال"
"Navigation.Customers","Navigation item. Plural noun - the list of customers, not a command.",,"Customers","Kunden","Clienti","العملاء"
"Navigation.Back","",,"Back","Zurück","Indietro","رجوع"
"CustomerEditor.Title","",,"Customer","Kunde","Cliente","عميل"
"CustomerEditor.Name","",,"Name","Name","Nome","الاسم"
"CustomerEditor.Code","Label for an identifier of the form AA0000. The code itself is never translated - see Wisej.NET, AA0000 below.",,"Customer code","Kundennummer","Codice cliente","رمز العميل"
"CustomerEditor.Country","",,"Country","Land","Paese","الدولة"
"CustomerEditor.Save","Button. Imperative verb - the action, not the noun.",,"Save","Speichern","Salva","حفظ"
"CustomerEditor.Cancel","",,"Cancel","Abbrechen","Annulla","إلغاء"
"CustomerEditor.Saved","",,"Customer saved.","Kunde gespeichert.","Cliente salvato.","تم حفظ العميل."
"CustomerEditor.SaveFailed","",,"The customer could not be saved.","Der Kunde konnte nicht gespeichert werden.","Impossibile salvare il cliente.","تعذر حفظ العميل."
"Customer.LastOrder","{0} is a date, {1} is a currency amount, both already formatted for the active culture. Keep both placeholders; word order may change.",,"Last order: {0} for {1}","Letzte Bestellung: {0} über {1}","Ultimo ordine: {0} per {1}","آخر طلب: {0} بقيمة {1}"
"Validation.Required","",,"This field is required.","Dieses Feld ist erforderlich.","Questo campo è obbligatorio.","هذا الحقل مطلوب."
"Validation.CodeFormat","Describes the format AA0000. Do not translate the format itself if you quote it.",,"A customer code is two letters and four digits.","Eine Kundennummer besteht aus zwei Buchstaben und vier Ziffern.","Un codice cliente è composto da due lettere e quattro cifre.","رمز العميل حرفان وأربعة أرقام."
"Preview.Heading","",,"The same three values, formatted for this session","Dieselben drei Werte, für diese Sitzung formatiert","Gli stessi tre valori, formattati per questa sessione","القيم الثلاث نفسها، منسقة لهذه الجلسة"
"Preview.Date","",,"Due date","Fälligkeitsdatum","Data di scadenza","تاريخ الاستحقاق"
"Preview.Quantity","",,"Units ordered","Bestellte Einheiten","Unità ordinate","الوحدات المطلوبة"
"Preview.Amount","",,"Order total","Bestellwert","Totale ordine","إجمالي الطلب"
"Preview.Culture","",,"Active culture","Aktive Kultur","Cultura attiva","الثقافة النشطة"
"Contacts.Name","",,"Name","Name","Nome","الاسم"
"Contacts.Role","Column heading. A job function such as Purchasing or Finance - not a theatrical part and not a security role.",,"Role","Rolle","Ruolo","الدور"
"Contacts.Phone","",,"Phone","Telefon","Telefono","الهاتف"
"Product.Framework","Third-party product name. Invariant.",X,"Wisej.NET","","",""
"Format.CustomerCode","The customer code format, shown literally in help text. Invariant.",X,"AA0000","","",""
